year,genus,species,weight,plot_type
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Rodent Exclosure
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,NA,Spectab exclosure
1977,Dipodomys,merriami,NA,Spectab exclosure
1977,Dipodomys,spectabilis,NA,Rodent Exclosure
1977,Dipodomys,merriami,NA,Rodent Exclosure
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,spectabilis,NA,Long-term Krat Exclosure
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Spectab exclosure
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,spectabilis,NA,Rodent Exclosure
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,NA,Rodent Exclosure
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Rodent Exclosure
1977,Dipodomys,spectabilis,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Rodent Exclosure
1977,Dipodomys,merriami,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,NA,Rodent Exclosure
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,40,Long-term Krat Exclosure
1977,Dipodomys,merriami,48,Rodent Exclosure
1977,Dipodomys,merriami,29,Control
1977,Dipodomys,merriami,46,Control
1977,Dipodomys,merriami,36,Rodent Exclosure
1977,Dipodomys,ordii,52,Control
1977,Dipodomys,merriami,35,Rodent Exclosure
1977,Dipodomys,spectabilis,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,22,Control
1977,Dipodomys,spectabilis,NA,Spectab exclosure
1977,Dipodomys,merriami,42,Rodent Exclosure
1977,Dipodomys,spectabilis,NA,Spectab exclosure
1977,Dipodomys,merriami,41,Control
1977,Dipodomys,merriami,37,Short-term Krat Exclosure
1977,Dipodomys,merriami,43,Long-term Krat Exclosure
1977,Dipodomys,merriami,41,Rodent Exclosure
1977,Dipodomys,merriami,40,Short-term Krat Exclosure
1977,Dipodomys,merriami,45,Short-term Krat Exclosure
1977,Dipodomys,merriami,29,Short-term Krat Exclosure
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,merriami,39,Short-term Krat Exclosure
1977,Dipodomys,merriami,42,Short-term Krat Exclosure
1977,Dipodomys,merriami,43,Short-term Krat Exclosure
1977,Dipodomys,merriami,46,Rodent Exclosure
1977,Dipodomys,merriami,41,Control
1977,Dipodomys,merriami,41,Short-term Krat Exclosure
1977,Dipodomys,merriami,40,Rodent Exclosure
1977,Dipodomys,merriami,45,Control
1977,Dipodomys,spectabilis,NA,Rodent Exclosure
1977,Dipodomys,merriami,46,Rodent Exclosure
1977,Dipodomys,merriami,40,Rodent Exclosure
1977,Dipodomys,merriami,30,Short-term Krat Exclosure
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,merriami,39,Long-term Krat Exclosure
1977,Dipodomys,merriami,34,Short-term Krat Exclosure
1977,Dipodomys,spectabilis,NA,Rodent Exclosure
1977,Dipodomys,merriami,42,Control
1977,Dipodomys,merriami,42,Rodent Exclosure
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,31,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Rodent Exclosure
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Rodent Exclosure
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,spectabilis,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,40,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,spectabilis,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,spectabilis,NA,Rodent Exclosure
1977,Dipodomys,spectabilis,NA,Short-term Krat Exclosure
1977,Dipodomys,spectabilis,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,37,Short-term Krat Exclosure
1977,Dipodomys,merriami,48,Control
1977,Dipodomys,spectabilis,NA,Rodent Exclosure
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,42,Rodent Exclosure
1977,Dipodomys,merriami,45,Short-term Krat Exclosure
1977,Dipodomys,merriami,36,Control
1977,Dipodomys,spectabilis,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,42,Short-term Krat Exclosure
1977,Dipodomys,merriami,44,Control
1977,Dipodomys,merriami,NA,Rodent Exclosure
1977,Dipodomys,merriami,41,Short-term Krat Exclosure
1977,Dipodomys,merriami,40,Control
1977,Dipodomys,merriami,34,Control
1977,Dipodomys,merriami,40,Long-term Krat Exclosure
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,merriami,44,Short-term Krat Exclosure
1977,Dipodomys,merriami,44,Control
1977,Dipodomys,merriami,36,Short-term Krat Exclosure
1977,Dipodomys,merriami,33,Short-term Krat Exclosure
1977,Dipodomys,spectabilis,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,46,Rodent Exclosure
1977,Dipodomys,spectabilis,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,35,Long-term Krat Exclosure
1977,Dipodomys,merriami,46,Control
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,merriami,37,Control
1977,Dipodomys,merriami,34,Rodent Exclosure
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,merriami,45,Control
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,merriami,51,Control
1977,Dipodomys,merriami,39,Control
1977,Dipodomys,merriami,29,Control
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,spectabilis,NA,Rodent Exclosure
1977,Dipodomys,merriami,48,Control
1977,Dipodomys,merriami,46,Control
1977,Dipodomys,merriami,41,Rodent Exclosure
1977,Dipodomys,spectabilis,NA,Rodent Exclosure
1977,Dipodomys,spectabilis,NA,Rodent Exclosure
1977,Dipodomys,spectabilis,NA,Rodent Exclosure
1977,Dipodomys,merriami,45,Control
1977,Dipodomys,merriami,42,Control
1977,Dipodomys,merriami,53,Control
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,merriami,49,Control
1977,Dipodomys,merriami,46,Control
1977,Dipodomys,merriami,48,Short-term Krat Exclosure
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,spectabilis,NA,Spectab exclosure
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,51,Control
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,50,Spectab exclosure
1977,Dipodomys,merriami,44,Short-term Krat Exclosure
1977,Dipodomys,merriami,NA,Long-term Krat Exclosure
1977,Dipodomys,spectabilis,NA,Long-term Krat Exclosure
1977,Dipodomys,spectabilis,NA,Spectab exclosure
1977,Dipodomys,merriami,44,Control
1977,Dipodomys,merriami,45,Spectab exclosure
1977,Dipodomys,merriami,45,Short-term Krat Exclosure
1977,Dipodomys,spectabilis,NA,Spectab exclosure
1977,Dipodomys,spectabilis,NA,Spectab exclosure
1977,Dipodomys,spectabilis,NA,Spectab exclosure
1977,Dipodomys,spectabilis,NA,Spectab exclosure
1977,Dipodomys,spectabilis,NA,Long-term Krat Exclosure
1977,Dipodomys,merriami,44,Short-term Krat Exclosure
1977,Dipodomys,merriami,42,Control
1977,Dipodomys,merriami,39,Control
1977,Dipodomys,merriami,47,Short-term Krat Exclosure
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,merriami,42,Short-term Krat Exclosure
1977,Dipodomys,spectabilis,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,49,Control
1977,Dipodomys,spectabilis,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,39,Short-term Krat Exclosure
1977,Dipodomys,merriami,43,Short-term Krat Exclosure
1977,Dipodomys,merriami,50,Short-term Krat Exclosure
1977,Dipodomys,merriami,41,Short-term Krat Exclosure
1977,Dipodomys,merriami,47,Control
1977,Dipodomys,merriami,37,Short-term Krat Exclosure
1977,Dipodomys,merriami,41,Control
1977,Dipodomys,merriami,36,Control
1977,Dipodomys,merriami,45,Short-term Krat Exclosure
1977,Dipodomys,merriami,40,Spectab exclosure
1977,Dipodomys,spectabilis,NA,Spectab exclosure
1977,Dipodomys,merriami,49,Spectab exclosure
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,merriami,55,Control
1977,Dipodomys,merriami,46,Short-term Krat Exclosure
1977,Dipodomys,merriami,38,Spectab exclosure
1977,Dipodomys,spectabilis,NA,Spectab exclosure
1977,Dipodomys,merriami,44,Spectab exclosure
1977,Dipodomys,merriami,41,Short-term Krat Exclosure
1977,Dipodomys,spectabilis,NA,Spectab exclosure
1977,Dipodomys,spectabilis,NA,Spectab exclosure
1977,Dipodomys,merriami,46,Short-term Krat Exclosure
1977,Dipodomys,merriami,36,Short-term Krat Exclosure
1977,Dipodomys,merriami,44,Short-term Krat Exclosure
1977,Dipodomys,merriami,53,Spectab exclosure
1977,Dipodomys,spectabilis,NA,Short-term Krat Exclosure
1977,Dipodomys,merriami,41,Control
1977,Dipodomys,merriami,48,Control
1977,Dipodomys,merriami,47,Control
1977,Dipodomys,merriami,NA,Control
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,ordii,33,Long-term Krat Exclosure
1977,Dipodomys,merriami,42,Control
1977,Dipodomys,ordii,50,Long-term Krat Exclosure
1977,Dipodomys,merriami,41,Control
1977,Dipodomys,merriami,49,Long-term Krat Exclosure
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,merriami,44,Long-term Krat Exclosure
1977,Dipodomys,merriami,31,Long-term Krat Exclosure
1977,Dipodomys,merriami,40,Long-term Krat Exclosure
1977,Dipodomys,merriami,40,Control
1977,Dipodomys,merriami,23,Rodent Exclosure
1977,Dipodomys,merriami,42,Long-term Krat Exclosure
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,merriami,42,Control
1977,Dipodomys,merriami,31,Long-term Krat Exclosure
1977,Dipodomys,merriami,39,Long-term Krat Exclosure
1977,Dipodomys,merriami,48,Long-term Krat Exclosure
1977,Dipodomys,ordii,48,Control
1977,Dipodomys,merriami,29,Control
1977,Dipodomys,merriami,45,Control
1977,Dipodomys,merriami,39,Control
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,ordii,31,Control
1977,Dipodomys,spectabilis,NA,Control
1977,Dipodomys,merriami,43,Rodent Exclosure
1977,Dipodomys,spectabilis,NA,Rodent Exclosure
1977,Dipodomys,merriami,43,Rodent Exclosure
1977,Dipodomys,spectabilis,NA,Control
